id,title,url,published_date,updated_date,content,author,skills
2.13e+18,<b>Machine Learning</b> May Help Predict Efficacy of Vedolizumab Treatment in Patients ... - Medical Bag,https://www.medicalbag.com/home/news/machine-learning-tool-may-successfully-predict-sfcr-promote-personalized-medicine-in-uc/,2021-09-09 16:41:15+00:00,2021-09-09 16:41:15+00:00,"With use of <b>machine learning</b>, researchers developed a predictive tool that may identify patients with ulcerative colitis (UC) who would not&nbsp;...",,Accuracy; Analysis; C; Cardiology; Cookies; Dermatology; Email; Endocrinology; Ethics; Facebook; Finance; Fraction; Free Hand; Gastroenterology; History; Image; Induction; LinkedIn; Logistic Regression; Logistics; Machine Learning; Media; Medicine; Microsoft Access; Neurology; News; Oncology; Ophthalmology; Privacy; Psychiatry; Random Forest; Regression; Testing; Therapy; Training; Twitter; Urology
1.13e+18,"Global Artificial Intelligence Market (2021 to 2027) - by Offering, Technology, Deployment ...",https://www.businesswire.com/news/home/20210909005899/en/Global-Artificial-Intelligence-Market-2021-to-2027---by-Offering-Technology-Deployment-Mode-Business-Function-Vertical-and-Region---ResearchAndMarkets.com,2021-09-09 16:52:30+00:00,2021-09-09 16:52:30+00:00,"“Artificial Intelligence Market, By Offering (Hardware, Software), Technology (<b>Machine Learning</b>, Natural Language Processing), Deployment Mode&nbsp;...",,Alibaba Cloud; Amazon Web Service (AWS); Artificial Intelligence (AI); Blogging; Collaboration; Competition; Computing; Cookies; Economics; Facebook; Factor Analysis; Geography; Hardware; Internet Explorer; Investment; Journalism; Law; LinkedIn; Machine Learning; Market; Media; Medium; Microsoft; Natural Language Processing (NLP); Network; News; Objective-C; Oracle; Political Economy; Privacy; R; SAP; SAS; Safari; Salesforce; Security; Twitter
1.58e+19,Masterclass in Applied <b>Artificial Intelligence</b> | Wits Business School - Executive Education Navigator,https://execed.economist.com/wits-business-school/masterclass-applied-artificial-intelligence-2021-09-25,2021-09-09 16:53:21+00:00,2021-09-09 16:53:21+00:00,"Find Masterclass in Applied <b>Artificial Intelligence</b> program details such as dates, duration, location and price with The Economist Executive&nbsp;...",,Accounting; Artificial Intelligence (AI); Business Analysis; Business Analytics; Business Development; C; Cookies; Corporate Communication; Decision Making; Email; Engineering; Entrepreneurship; Finance; Healthcare; Human Resource (HR); Information Technology (IT); Information Threat; Innovation; Leadership; Manufacturing; Marketing; Medicine; Microsoft Access; Negotiation; Privacy; Project Management; Property; Public Policy; Public Relations (PR); Research; Sales; Sentry
1.09e+19,Assessment Industry Leader Holds Summit on <b>Artificial Intelligence</b> - EIN News,https://www.einnews.com/pr_news/550966900/assessment-industry-leader-holds-summit-on-artificial-intelligence,2021-09-09 16:58:06+00:00,2021-09-09 16:58:06+00:00,"Global ATP Chair John Kleeman, Founder of Questionmark, in emphasizing the importance of this year&#39;s virtual Security Summit focusing on <b>Artificial</b>&nbsp;...",,Agriculture; Airlines; Algorithm; Artificial Intelligence (AI); Automotive; Banking; C; Casino; Chart; Chemical; Construction; Creatio; Database; Decision Making; Editor; Electronics; Email; German; Healthcare; IP Addressing; Indonesian; Information Technology (IT); Insurance; Internet; Korean; Law; Logistics; Management; Manufacturing; Microsoft; Microsoft Access; Microsoft Publisher; Mining; Music; News; Newsletters; Parsec; Parser; Play; Politics; Privacy; Public Policy; Public Relations (PR); Publishing; Radio; Rally; Real Estate; Retail; Russian; Sampling Distribution; Security; Social Media; Sports; Testing; Textiles; Trade; Video; iland
1.41e+19,How Next-Generation Models Will Leverage Big Data and AI for More Accurate Estimates of ...,https://news.columbia.edu/news/next-generation-models,2021-09-09 17:03:45+00:00,2021-09-09 17:03:45+00:00,"CARL VONDRICK: The form of <b>machine learning</b> we are using, deep learning, achieves excellent performance when we have large amounts of data. The center&nbsp;...",,Artificial Intelligence (AI); Arts; Azure Machine Learning; Big Data; Biology; Chemical; Chemistry; Computing; Correlation; Data Science; Dataset; Deep Learning; Email; Facebook; Generative Adversarial Network (GAN); Humanities; Image; Instagram; Interpreter; LeSS; Machine Learning Algorithm; Microsoft Excel; Modelling; Neural Network; News; Physics; Politics; Reasoning; Research; Twitter; Uncertainty; Variable; Video; Youtube
9.46e+18,New NSF Center Will Advance Phosphorus Sustainability | NC State News,https://news.ncsu.edu/2021/09/new-nsf-center-will-advance-phosphorus-sustainability/,2021-09-09 17:03:45+00:00,2021-09-09 17:03:45+00:00,"STEPS will also leverage disciplinary contributions like team science and <b>data science</b>, while drawing on the expertise of industry partners to&nbsp;...",,Agricultural Engineering; Agricultural Science; Agriculture; Annual Report; Audio; Biology; C; Chemical Engineering; Chemistry; Collaboration; Data Science; Design; Ecology; Email; Environmental Economics; Environmental Engineering; Finance; Food Production; Human Resource (HR); Innovation; Life Science; Management; Materials Science; Media; News; Platform; Population; Privacy; Problem Solving; RStudio; Rally; Research; Security; Sustainability Studies; Vulnerability
1.17e+19,Columbia to Launch $25 Million AI-based Climate Modeling Center,https://news.columbia.edu/news/columbia-ai-based-climate-modeling-center,2021-09-09 17:03:45+00:00,2021-09-09 17:03:45+00:00,"Funded by the National Science Foundation, the center will leverage big data and <b>machine learning</b> to improve climate projections and motivate&nbsp;...",,Artificial Intelligence (AI); Arts; Azure Machine Learning; Big Data; Biology; Chemistry; Collaboration; Computer Science; Data Science; Dataset; Electronic Materials; Email; Environmental Engineering; Environmental Science; Equity; Facebook; Google Cloud Platform (GCP); Humanities; Image; Instagram; Investment; Machine Learning Algorithm; Microsoft; Modelling; News; Physics; Platform; Play; Politics; Research; Social Work; Statistics; Twitter; Uncertainty; Video; Youtube; iland
9.59e+18,Reckoning with Slavery: Revisiting Management&#39;s Uncomfortable Past - Nonprofit Quarterly,https://nonprofitquarterly.org/reckoning-with-slavery-revisiting-managements-uncomfortable-past/,2021-09-09 17:03:53+00:00,2021-09-09 17:03:53+00:00,"As we would say today, they sharpened their <b>data science</b> skills and expanded their networks. Yet these early consumers of business education—many&nbsp;...",,Accounting; Apache Spark; Array; Balance Sheet; Big Data; Bookkeeping; Brand Management; Budget; Chart; Communication; Cookies; Dashboard; Data Science; Database; Design; Economics; Email; Foreign Language; Fraction; Golang; History; Image; Innovation; Insurance; Jenkins; Law Practice; Leadership; Microsoft Outlook; Microsoft Publisher; Network; Newsletters; Privacy; Property; Quickbooks; Reasoning; Reporting; Research; Sketch; Sorting; Stock Market; Trade; User Experience (UX)
7.89e+18,AWS and Bundesliga to Debut Two New Bundesliga Match Facts for the 2021–22 European ...,https://finance.yahoo.com/news/aws-bundesliga-debut-two-bundesliga-173200038.html,2021-09-09 17:26:15+00:00,2021-09-09 17:26:15+00:00,"Shot Efficiency and Passing Profile bring the total number of advanced statistics to eight, using AWS <b>machine learning</b> and analytics to give fans&nbsp;...",,Accounting; Agile; Algorithm; Amazon Web Service (AWS); Analytical; Artificial Intelligence (AI); Augmented Reality (AR); Autoregressive (AR) Model; Blogging; Bond; Brand Management; Calendar; Collaboration; Communication; Cryptocurrency; Currency; Dashboard; Database; Dataset; Decision Making; Delegation; Entertainment; Equity; Exploit; Facebook; Finance; Financial Services; German; Healthcare; Indonesian; Innovation; Instagram; Internet of Things (IoT); Investment; Lexis; Machine Learning; Media; Microsoft Excel; Mobile Security; Networking; News; Play; Politics; Probability; Publishing; Rapid Application Development; Real Estate; Research; Sports; Statistics; Stock Market; Television; Trade; Twitter; Video; Virtual Reality (VR)
9.64e+18,AWS and Bundesliga to Debut Two New Bundesliga Match Facts for the 2021–22 European ...,https://www.kulr8.com/news/money/aws-and-bundesliga-to-debut-two-new-bundesliga-match-facts-for-the-2021-22-european/article_f9b0424e-bdca-5416-83a7-63574a09f0c9.html,2021-09-09 17:26:15+00:00,2021-09-09 17:26:15+00:00,"To develop these stats, <b>machine learning</b> models trained on Amazon SageMaker (AWS&#39;s service that enables data scientists and developers to build, train&nbsp;...",,Accounting; Agile; Algorithm; Amazon Web Service (AWS); Analytical; Artificial Intelligence (AI); Augmented Reality (AR); Autoregressive (AR) Model; Brand Management; Calendar; Collaboration; Construction; Content Management System (CMS); Dashboard; Data Management; Database; Dataset; Decision Making; Delegation; Email; Entertainment; Exploit; Facebook; German; Indonesian; Innovation; Instagram; Internet of Things (IoT); Investment; Machine Learning; Marketing; Media; Microsoft Excel; Mining; Mobile Security; Network; Networking; News; Newsletters; Nursing; Play; Privacy; Probability; Processing; Public Health; Publishing; Radio; Rapid Application Development; React; Reinforcement Learning; Sales; Selection; Sports; Statistics; Table; Television; Twitter; Video; Virtual Reality (VR); Youtube
