name,market_value_21,world_rank_21,market_value_20,world_rank_20,country,ceo,website,sector,employee_count,annual_revenue,annual_net_income,stock_exchange,stock_category,description
BANGKOK BANK PUBLIC COMPANY,7.540 Billion USD,2116,7.540 Billion USD,2116,Thailand,,https://www.bangkokbank.com/,Financial Services; Banking Services,,,,Frankfurt,,"Bangkok Bank Public Company is a Commercial Banking company. It is a regional banks with total assets of 3,216,743 million baht, with approximately 240 business centers and business desks and also have the countries largest retail customer base of more than 17 million accounts. The headquarters is in Thailand.
Bangkok Bank Public Company has 1,165 branches and 9,300 ATMs as on 2019."
CENTRAL PATTANA PUBLIC COMPANY,7.116 Billion USD,2210,7.116 Billion USD,2210,Thailand,,https://www.cpn.co.th/en,Real Estate; Property Investments; Construction,,,,Thailand,,"Central Pattana Public Company is a Property Developer company. The Company owns and manages 32 premium shopping centers, 7 office buildings, 2 Hotels and 4 residential buildings, with a total leasable area exceeding 1.7 million sq.m. The headquarters is in Thailand."
PTT GLOBAL CHEMICAL PUBLIC COMPANY,8.749 Billion USD,1872,8.749 Billion USD,1872,Thailand,,https://www.pttgcgroup.com/en,Basic Materials; Chemicals; Petrochemicals,,Year ending December-2020,Year ending December-2020,Thailand,,"PTT Global Chemical Public Company is a Petrochemical company. It is comprised of diversified and comprehensive petrochemical businesses including manufacturing and distribution of upstream, intermediate and downstream petrochemical products. The company products are can be converted into other chemical products and serve as basic feedstock for downstream industries such as packaging, apparel, communications and electronic equipment, electrical appliances, vehicles, construction materials, engineering based plastics, agricultural equipment and much more."
GLOBAL POWER SYNERGY PUBLIC COMPANY,6.932 Billion USD,2269,6.932 Billion USD,2269,Thailand,,https://www.gpscgroup.com/en,Utilities; Electric Utilities; Power Generation,,,,Thailand,,"Global Power Synergy Public Company is a Electric Power Generation company. It is the total current generating capacity according to equity MW is around 5,026 MW of electricity. The headquarters is in Thailand."
KRUNG THAI BANK PUBLIC COMPANY,5.173 Billion USD,2843,5.173 Billion USD,2843,Thailand,,https://www.ktb.co.th/,Financial Services; Banking Services,,,,Frankfurt,Thailand ADRs,"Krung Thai Bank Public Company is a Commercial Banking and Financial Services Holding company. It offer full coverage of bank networks that available to provide great service in all levels including personal, organizational, institutional, government or state enterprise and all types of business customers. The headquarters is in Thailand."
CHAROEN POKPHAND FOODS PUBLIC COMPANY,7.122 Billion USD,2208,7.122 Billion USD,2208,Thailand,,https://www.cpfworldwide.com/,Consumer Defensive; Food Products; Meat / Poultry / Fish / Chicken,,,,Thailand,,"Charoen Pokphand Foods Public Company is a Animal Aquaculture company. It operates integrated agro industrial and food business including livestock and aquaculture such as swine, broiler, layer, duck, shrimp and fish. The company businesses are categorized into 3 categories they are namely Feed, Farm and Food. The headquarters is in Thailand."
BANK OF AYUDHYA PUBLIC COMPANY,7.662 Billion USD,2080,7.662 Billion USD,2080,Thailand,,https://www.krungsri.com/,Financial Services; Banking Services,,,,Frankfurt,Thailand ADRs,"Bank of Ayudhya Public Company is a Banking Holding company. The Bank is currently the fifth largest bank in Thailand in terms of loans and deposits. It provides a full range of banking services to both commercial and individual customers. The headquarters is in Thailand.
Bank of Ayudhya Public Company has more than 550 branches as on 2019."
HOME PRODUCT CENTER PUBLIC COMPANY,6.006 Billion USD,2540,6.006 Billion USD,2540,Thailand,,https://www.homepro.co.th/,Consumer Cyclical; Retail; Home Improvement,,,,Thailand,,"Home Product Center Public Company is a Home Improvement Retail company. It products rang cover 40,000 items, operate 94 store nationwide and retailer of products and provider of services relating to construction, extension, renovation and improvement of buildings, houses and residence as one stop shopping. The headquarters is in Thailand."
INDORAMA VENTURES PUBLIC COMPANY,6.925 Billion USD,2273,6.925 Billion USD,2273,Thailand,,https://www.indoramaventures.com/en,Basic Materials; Chemicals; Petrochemicals,,,,Thailand,,"Indorama Ventures Public Company is a Petrochemical company. It is having 24,000 professional employees, consolidated revenue 11.4 billion USD and has 121 manufacturing facilities present across 33 countries as per year 2019. The headquarters is in Thailand."
INTOUCH HOLDINGS PUBLIC COMPANY,6.012 Billion USD,2538,6.012 Billion USD,2538,Thailand,,https://www.intouchcompany.com/,Communication Services; Telecom; Technology,,,,Thailand,,"Intouch Holdings Public Company is a Telecommunications company. The company principle business units are currently divided into three main areas they are wireless telecommunication business, satellite and international businesses and other businesses. It paid up capital is 3,206,509,426 baht including 3,206,509,426 common shares and registered capital is 5,000,000,000 baht. The headquarters is in Thailand."
ASSET WORLD CORP PUBLIC COMPANY,4.864 Billion USD,2991,4.864 Billion USD,2991,Thailand,,https://www.assetworldcorp-th.com/,Real Estate; Property Investments; Investments,,,,Thailand,,"Asset World Corp Public Company is a Real Estate Development and Investment Involving a Growing and Diverse Portfolio of Hospitality, Lifestyle Destinations and Commercial Workspaces company. The headquarters is in Thailand."
BTS GROUP HOLDINGS PUBLIC COMPANY,4.041 Billion USD,3476,4.041 Billion USD,3476,Thailand,,http://www.btsgroup.co.th/en,Industries; Conglomerate; Railway,,,,Thailand,Thailand ADRs,"BTS Group Holdings Public Company is a Privately Owned Conglomerate company. It engages in four business units they are mass transit, media, property and services. The headquarters is in Thailand."
ELECTRICITY GENERATING PUBLIC COMPANY,3.378 Billion USD,3969,3.378 Billion USD,3969,Thailand,,https://www.egco.com/en,Utilities; Power Generation; Electricity Generation,,,,Thailand,Thailand ADRs,"Electricity Generating Public Company is a Electric Services company. The company power plants presently generate electricity using several fuel sources such as natural gas, LNG, coal, biomass, hydro, solar, wind, geothermal and fuel cell. The headquarters is in Thailand."
MINOR INTERNATIONAL PUBLIC COMPANY,4.448 Billion USD,3228,4.448 Billion USD,3228,Thailand,,https://www.minor.com/en,Consumer Cyclical; Hotels; Resorts,,,,Thailand,,"Operates hotels, resorts, restaurants. Headquarters is in Bangkok, Thailand."
BANGKOK EXPRESSWAY AND METRO PUBLIC COMPANY,4.229 Billion USD,3354,4.229 Billion USD,3354,Thailand,,https://www.bemplc.co.th/,Industries; Infrastructure; Construction,,,,Thailand,,"Construction and infrastructure company that constructs and operates metros and expressways in Thailand. Headquarters is in Bangkok, Thailand."
ENERGY ABSOLUTE PUBLIC COMPANY,6.123 Billion USD,2508,6.123 Billion USD,2508,Thailand,,https://www.energyabsolute.co.th/,Utilities; Renewable Energy; Electric Utilities,,,,Thailand,,Energy Absolute Public Company generates solar power and wind power. Headquarters is in Thailand.
TMB BANK PUBLIC COMPANY,3.430 Billion USD,3926,3.430 Billion USD,3926,Thailand,,https://www.tmbbank.com/,Financial Services; Banking Services,,,,Frankfurt,Thailand ADRs,TMB Bank Public Company is a Banking and Financial Services company. The headquarters is in Thailand.
BERLI JUCKER PUBLIC COMPANY,4.642 Billion USD,3112,4.642 Billion USD,3112,Thailand,,https://www.bjc.co.th/,Industries; FMCG; Packaging Materials,,,,Thailand,Thailand ADRs,"Manufacture and supplies packaging materials, glass containers, cans, plastic containers. Manufacture and markets FMCG products like Soaps, Tissue Papers, Food Products, Cosmetics. Apart from that it imports and exports several items and markets them.
Headquarters is in Bangkok, Thailand."
SIAM MAKRO PUBLIC COMPANY,6.320 Billion USD,2451,6.320 Billion USD,2451,Thailand,,https://www.siammakro.co.th/,Consumer Cyclical; Retail,,,,Thailand,,"Retail sector company with a chain of stores and which sells food items and non food items. Headquarters is in Bangkok, Thailand."
TRUE CORPORATION PUBLIC COMPANY,3.796 Billion USD,3642,3.796 Billion USD,3642,Thailand,,http://www3.truecorp.co.th/,Communication Services; Telecom; Internet Providers,,,,Thailand,,"Telecom sector company providing mobile network services, Cable TV services and Internet service with headquarters in Bangkok, Thailand."
THAI OIL PUBLIC COMPANY,3.536 Billion USD,3863,3.536 Billion USD,3863,Thailand,,https://www.thaioilgroup.com/,Energy; Oil and Gas; Oil Refining,,,,Frankfurt,,"Thai Oil Public Company is a Oil Refining and Petrochemical company. It operates a highly complex refinery utilizing modern and efficient processing technologies to produce petroleum products primarily for domestic distribution and further diversifies investment into related businesses which include petrochemical products, lube base oil, ethanol, power generation as well as marine and pipeline transportation of petroleum and petrochemical products. The headquarters is in Thailand."
B.GRIMM POWER PUBLIC COMPANY,4.215 Billion USD,3365,4.215 Billion USD,3365,Thailand,,https://www.bgrimmpower.com/en,Utilities,,,,Thailand,,"B. Grimm Power Public Company is a Thailand Based Energy company that focuses on the development, financing, construction and operation of green field power plants. The headquarters is in Thailand. "
MUANGTHAI CAPITAL PUBLIC COMPANY,4.169 Billion USD,3397,4.169 Billion USD,3397,Thailand,,https://www.muangthaicap.com/,Financial Services,,,,Thailand,,"Muangthai Capital Public Company is a Lending Services company focusing on motorcycle title Loan its own the most market share in Thailand. The Company continues to focus on expand service channel to cover all regions in Thailand from provinces to districts, districts to sub districts with a plan to expand to 4,500 branches by 2020. The headquarters is in Thailand."
TOTAL ACCESS COMMUNICATION PUBLIC COMPANY,5.308 Billion USD,2795,5.308 Billion USD,2795,Thailand,,http://www.dtac.co.th/,Communication Services; Mobile Services; Telecom,,,,Thailand,,Total Access Communication Public Company is a Mobile Phone Operator company. The headquarters is in Thailand.
LAND AND HOUSES PUBLIC COMPANY,3.167 Billion USD,4142,3.167 Billion USD,4142,Thailand,,https://www.lh.co.th/,Real Estate; Construction,,,,Frankfurt,,"Land and Houses Public Company is a residential housing development, concentrating particularly on single detached houses company. The company quarterly revenue is 8.27 billion USD as on 2020. The headquarters is in Thailand."
OSOTSPA PUBLIC COMPANY,3.554 Billion USD,3849,3.554 Billion USD,3849,Thailand,,https://www.osotspa.com/,Consumer Defensive; Non-Alcoholic Beverages; Beverages,,,,Thailand,,"Non alcoholic beverages company with headquarters in Bangkok, Thailand."
BUMRUNGRAD HOSPITAL PUBLIC COMPANY,3.178 Billion USD,4128,3.178 Billion USD,4128,Thailand,,https://www.bumrungrad.com/,Healthcare; Hospitals; Healthcare Service,,,,Thailand,Thailand ADRs,Bumrungrad Hospital Public Company is a Global Pioneer in providing world class Healthcare Services company. The headquarters is in Thailand.
KRUNGTHAI CARD PUBLIC COMPANY,5.114 Billion USD,2878,5.114 Billion USD,2878,Thailand,,https://www.ktc.co.th/,Financial Services,,,,Thailand,,Krungthai Card Public Company is a Financial Services company. The headquarters is in Thailand.
RATCH GROUP PUBLIC COMPANY,2.690 Billion USD,4582,2.690 Billion USD,4582,Thailand,,https://www.ratch.co.th/en,Utilities; Electric Utilities; Power Generation,,,,Thailand,,"Ratch Group Public Company is a Leading Independent Power Producer, Value Oriented Energy and Infrastructure company. It is focused on fossil fuel power generation projects, renewable projects, businesses adjacent to electricity generation and energy as well as infrastructure businesses both in Thailand and internationally. The headquarters is in Thailand."
SRISAWAD CORPORATION PUBLIC COMPANY,3.010 Billion USD,4280,3.010 Billion USD,4280,Thailand,,https://www.meebaanmeerod.com/,Financial Services; Asset Management; Investments,,,,Thailand,,"Srisawad Corporation Public Company is a Financial Services company. The company annual revenue is 10,090 million THB as on 2020. The headquarters is in Thailand."
VGI PUBLIC COMPANY,1.909 Billion USD,5617,1.909 Billion USD,5617,Thailand,,http://www.vgi.co.th/,Communication Services; Advertising,,,,Thailand,,
CARABAO GROUP PUBLIC COMPANY,3.817 Billion USD,3631,3.817 Billion USD,3631,Thailand,,http://www.carabaogroup.com/,Consumer Defensive; Beverages; Non-Alcoholic Beverages,,,,Thailand,,Beverages sector company and manufactures soft drinks and energy drinks. Headquarters is in Thailand.
IRPC PUBLIC COMPANY,2.531 Billion USD,4772,2.531 Billion USD,4772,Thailand,,https://www.irpc.co.th/en/,Energy; Oil and Gas,,,,Frankfurt,,
TISCO FINANCIAL GROUP PUBLIC COMPANY,2.362 Billion USD,4969,2.362 Billion USD,4969,Thailand,,https://www.tisco.co.th/,Financial Services; Banking Services,,,,Thailand,,
TOA PAINT (THAILAND) PUBLIC COMPANY,2.266 Billion USD,5081,2.266 Billion USD,5081,Thailand,,https://www.toagroup.com/,Basic Materials; Paints and Coatings; Chemicals,,,,Thailand,,
CPN RETAIL GROWTH LEASEHOLD REIT,1.401 Billion USD,6635,1.401 Billion USD,6635,Thailand,,http://www.cpnreit.com/en,Real Estate; Retail,,,,Thailand,,
ROBINSON PUBLIC COMPANY,0.035 Billion USD,21844,0.035 Billion USD,21844,Thailand,,https://robinsonpackaging.com/,Consumer Cyclical; Packaging,,,,LSE,,Robinson Public Company is a Department Store company. Total Revenue as per 2019 is 35.09(£m). Net Profit as per 2019 is 1.21(£m). Total Assets as per 2019 is 37.85(£m). Total Liabilities as per 2019 is 14.93(£m). The headquarters is in Thailand.
DELTA ELECTRONICS (THAILAND) PUBLIC COMPANY,20.208 Billion USD,900,20.208 Billion USD,900,Thailand,,https://www.deltathailand.com/en/,Industries; Electronics; Electrical Products,15250.0,Year ending December-2020,Year ending December-2020,Frankfurt,,"Delta Electronics (Thailand) Public Company Limited manufacturing electronic components, i.e. cooling fan, electromagnetic interference filter (EMI) and solenoid. Their current power management products include power systems for information technology, automotive, telecommunications, industrial applications, office automation, medical industries, EV chargers, DC-DC converters and adapters."
SIAM GLOBAL HOUSE PUBLIC COMPANY,2.494 Billion USD,4814,2.494 Billion USD,4814,Thailand,,https://www.globalhouse.co.th/,Consumer Cyclical,,,,Thailand,,
THAI UNION GROUP PUBLIC COMPANY,2.110 Billion USD,5288,2.110 Billion USD,5288,Thailand,,https://www.thaiunion.com/en,Consumer Defensive; FMCG; Package Foods,,,,Thailand,,
MK RESTAURANT GROUP PUBLIC COMPANY,1.512 Billion USD,6382,1.512 Billion USD,6382,Thailand,,https://www.mkrestaurant.com/,Consumer Cyclical; Restaurants,,,,Frankfurt,,
THAI PRESIDENT FOODS PUBLIC COMPANY,2.116 Billion USD,5277,2.116 Billion USD,5277,Thailand,,https://www.mama.co.th/,Consumer Defensive; FMCG; Package Foods,,,,Thailand,,
BANPU PUBLIC COMPANY,1.861 Billion USD,5706,1.861 Billion USD,5706,Thailand,,http://www.banpu.com/,Energy; Coal Mining,,,,Thailand,Thailand ADRs,
THANACHART CAPITAL PUBLIC COMPANY,1.238 Billion USD,7083,1.238 Billion USD,7083,Thailand,,https://www.thanachart.co.th/,Financial Services,,,,Thailand,,
BANGKOK COMMERCIAL ASSET MANAGEMENT COMPANY,2.359 Billion USD,4972,2.359 Billion USD,4972,Thailand,,https://www.bam.co.th/,Financial Services; Asset Management,,,,Thailand,,
WHA CORPORATION PUBLIC COMPANY,1.515 Billion USD,6372,1.515 Billion USD,6372,Thailand,,https://www.wha-logistics.com/,Real Estate,,,,Thailand,,
SIAM CITY CEMENT PUBLIC COMPANY,1.346 Billion USD,6773,1.346 Billion USD,6773,Thailand,,https://www.siamcitycement.com/,Basic Materials; Cement; Construction Materials,,,,Thailand,,
KIATNAKIN BANK PUBLIC COMPANY,1.461 Billion USD,6505,1.461 Billion USD,6505,Thailand,,https://www.kiatnakin.co.th/,Financial Services; Banking Services,,,,Thailand,,
TTW PUBLIC COMPANY,1.649 Billion USD,6088,1.649 Billion USD,6088,Thailand,,https://www.ttwplc.com/en,Utilities; Water Utilities,,,,Frankfurt,,
BANPU POWER PUBLIC COMPANY,1.534 Billion USD,6340,1.534 Billion USD,6340,Thailand,,https://www.banpupower.com/,Utilities,,,,Thailand,,
KARMARTS PUBLIC COMPANY,0.116 Billion USD,17622,0.116 Billion USD,17622,Thailand,,https://www.karmarts.co.th/,Consumer Defensive; Cosmetics; Beauty and Personal Care,,,,Thailand,,
STARK CORPORATION PUBLIC COMPANY,1.691 Billion USD,6006,1.691 Billion USD,6006,Thailand,,http://www.starkcorporation.com/,Communication Services,,,,Thailand,,
AEON THANA SINSAP (THAILAND) PUBLIC COMPANY,1.692 Billion USD,6005,1.692 Billion USD,6005,Thailand,,https://www.aeon.co.th/,Financial Services,,,,Thailand,,
TESCO LOTUS RET GROWTH F&L PRP,1.309 Billion USD,6866,1.309 Billion USD,6866,Thailand,,,Financial Services; Asset Management,,,,Thailand,,
STAR PETROLEUM REFINING PUBLIC COMPANY,1.163 Billion USD,7340,1.163 Billion USD,7340,Thailand,,https://www.sprc.co.th/,Energy; Oil and Gas,,,,Thailand,,
SAMITIVEJ PUBLIC COMPANY,1.333 Billion USD,6810,1.333 Billion USD,6810,Thailand,,https://www.samitivejhospitals.com/,Healthcare,,,,Thailand,,
WHA PREMIUM GROWTH FREEHOLD AND LEASEHOLD REAL ESTATE INVESTMENT TRUST,1.231 Billion USD,7111,1.231 Billion USD,7111,Thailand,,https://www.whareit.com/,Real Estate,,,,Thailand,,
ABSOLUTE CLEAN ENERGY PUBLIC COMPANY,1.235 Billion USD,7100,1.235 Billion USD,7100,Thailand,,https://www.ace-energy.co.th/,Utilities; Electric Utilities,,,,Thailand,,
BANGKOK CHAIN HOSPITAL PUBLIC COMPANY,1.131 Billion USD,7458,1.131 Billion USD,7458,Thailand,,http://www.bangkokchainhospital.com/,Healthcare,,,,Thailand,,
JASMINE INTERNATIONAL PUBLIC COMPANY,0.911 Billion USD,8337,0.911 Billion USD,8337,Thailand,,https://www.jasmine.com/,Communication Services,,,,Thailand,,
TICON FREEHOLD AND LEASEHOLD REAL ESTATE INVESTMENT TRUST,1.101 Billion USD,7570,1.101 Billion USD,7570,Thailand,,,Real Estate,,,,Thailand,,
CK POWER PUBLIC COMPANY,1.209 Billion USD,7187,1.209 Billion USD,7187,Thailand,,http://www.ckpower.co.th/,Utilities; Electric Utilities,,,,Thailand,,
BANGCHAK CORPORATION PUBLIC COMPANY,1.267 Billion USD,7000,1.267 Billion USD,7000,Thailand,,https://www.bangchak.co.th/,Energy; Oil and Gas,,,,Frankfurt,,
SUPALAI PUBLIC COMPANY,1.323 Billion USD,6833,1.323 Billion USD,6833,Thailand,,https://www.supalai.com/,Real Estate,,,,Thailand,,
SAHA PATHANA INTER-HOLDING PUBLIC COMPANY,1.353 Billion USD,6755,1.353 Billion USD,6755,Thailand,,https://www.supalai.com/,Real Estate,,,,Thailand,,
TPI POLENE POWER PUBLIC COMPANY,1.198 Billion USD,7230,1.198 Billion USD,7230,Thailand,,http://www.tpipolenepower.co.th/,Utilities; Electric Utilities,,,,Thailand,,
RAMKHAMHAENG HOSPITAL PUBLIC COMPANY,1.116 Billion USD,7519,1.116 Billion USD,7519,Thailand,,https://www.ram-hosp.co.th/,Healthcare,,,,Thailand,,
BANGKOK LIFE ASSURANCE PUBLIC COMPANY,1.195 Billion USD,7249,1.195 Billion USD,7249,Thailand,,https://www.bangkoklife.com/,Financial Services; Insurance,,,,Thailand,,
FRASERS PROPERTY (THAILAND) PUBLIC COMPANY,0.951 Billion USD,8159,0.951 Billion USD,8159,Thailand,,https://www.frasersproperty.co.th/,Real Estate,,,,Thailand,,
IMPACT GROWTH REAL ESTATE INVESTMENT TRUST,0.969 Billion USD,8074,0.969 Billion USD,8074,Thailand,,http://www.impactgrowthreit.com/,Real Estate,,,,Thailand,,
CENTRAL PLAZA HOTEL PUBLIC COMPANY,1.067 Billion USD,7684,1.067 Billion USD,7684,Thailand,,http://www.centarahotelsresorts.com/,Consumer Cyclical,,,,Thailand,,
PRUKSA HOLDING PUBLIC COMPANY,,,,,Thailand,,https://www.psh.co.th/en,Real Estate,,,,Thailand,,
BCPG PUBLIC COMPANY,1.250 Billion USD,7055,1.250 Billion USD,7055,Thailand,,https://www.bcpggroup.com/en,Utilities; Electric Utilities,,,,Thailand,,
TIPCO ASPHALT PUBLIC COMPANY,0.921 Billion USD,8283,0.921 Billion USD,8283,Thailand,,http://www.tipcoasphalt.com/,Basic Materials; Construction Materials,,,,Thailand,,
CH. KARNCHANG PUBLIC COMPANY,0.917 Billion USD,8306,0.917 Billion USD,8306,Thailand,,http://www.ch-karnchang.co.th/,Industries; Construction,,,,Thailand,,
ESSO (THAILAND) PUBLIC COMPANY,0.854 Billion USD,8617,0.854 Billion USD,8617,Thailand,,https://www.esso.co.th/,Energy; Oil and Gas,,,,Frankfurt,,
PRESIDENT BAKERY PUBLIC COMPANY,1.050 Billion USD,7744,1.050 Billion USD,7744,Thailand,,http://www.farmhouse.co.th/,Consumer Defensive; FMCG; Package Foods,,,,Thailand,,
BANGKOK INSURANCE PUBLIC COMPANY,0.980 Billion USD,8028,0.980 Billion USD,8028,Thailand,,https://www.bangkokinsurance.com/,Financial Services; Insurance,,,,Thailand,,
VINYTHAI PUBLIC COMPANY,1.264 Billion USD,7009,1.264 Billion USD,7009,Thailand,,http://www.vinythai.co.th/,Basic Materials; Chemicals,,,,Thailand,,
COM7 PUBLIC COMPANY,1.560 Billion USD,6286,1.560 Billion USD,6286,Thailand,,https://www.comseven.com/,Technology,,,,Thailand,,
PLAN B MEDIA PUBLIC COMPANY,0.809 Billion USD,8868,0.809 Billion USD,8868,Thailand,,https://www.planbmedia.co.th/,Communication Services; Advertising,,,,Thailand,,
PTG ENERGY PUBLIC COMPANY,0.885 Billion USD,8446,0.885 Billion USD,8446,Thailand,,https://www.ptgenergy.co.th/,Consumer Cyclical; Retail,,,,Thailand,,
LH FINANCIAL GROUP PUBLIC COMPANY,0.732 Billion USD,9328,0.732 Billion USD,9328,Thailand,,https://lhfg.listedcompany.com/,Financial Services; Banking Services,,,,Thailand,,
CHULARAT HOSPITAL PUBLIC COMPANY,0.902 Billion USD,8374,0.902 Billion USD,8374,Thailand,,https://www.chularat.com/,Healthcare,,,,Thailand,,
MBK PUBLIC COMPANY,0.556 Billion USD,10669,0.556 Billion USD,10669,Thailand,,https://www.mbkgroup.co.th/,Real Estate,,,,Thailand,,
QUALITY HOUSES PUBLIC COMPANY,0.829 Billion USD,8745,0.829 Billion USD,8745,Thailand,,https://www.qh.co.th/,Real Estate,,,,Thailand,,
KCE ELECTRONICS PUBLIC COMPANY,1.630 Billion USD,6127,1.630 Billion USD,6127,Thailand,,https://www.kce.co.th/,Technology; Electronics; Capital Goods,,,,Frankfurt,,
HANA MICROELECTRONICS PUBLIC COMPANY,1.066 Billion USD,7687,1.066 Billion USD,7687,Thailand,,https://www.hanagroup.com/,Technology; Electronics; Capital Goods,,,,Thailand,,
THAI GROUP HOLDINGS PUBLIC COMPANY,0.815 Billion USD,8818,0.815 Billion USD,8818,Thailand,,http://www.segroup.co.th/,Financial Services; Insurance,,,,Thailand,,
GUNKUL ENGINEERING PUBLIC COMPANY,0.738 Billion USD,9294,0.738 Billion USD,9294,Thailand,,https://www.gunkul.com/en,Industries; Engineering Products; Engineering Services,,,,Thailand,,
THAIFOODS GROUP PUBLIC COMPANY,0.909 Billion USD,8341,0.909 Billion USD,8341,Thailand,,https://www.tfg.co.th/en/,Consumer Defensive; Food Products; Meat / Poultry / Fish / Chicken,,,,Thailand,,
AP (THAILAND) PUBLIC COMPANY,0.760 Billion USD,9162,0.760 Billion USD,9162,Thailand,,https://www.apthai.com/en/,Real Estate,,,,Thailand,,
