id,title,channel,description,skills,jobs
5uzB4z4iN0g,Tableau Projects For Practice With Examples | Tableau Training For Beginners | Simplilearn,Simplilearn,This video is based on  Tableau  Projects for Practice with Examples. This  tableau  training for beginners video includes some ...,Tableau; Training,Training
68lIfswwG2A,Natural Language Processing | NLP with Deep Learning and Machine Learning | NLP Using Python,Intellipaat,# NaturalLanguageProcessing  #NLPdeeplearning #NLPMachineLearning #NLPPython #NLPCourse #NLPTraining #NLPTutorial ...,Deep Learning; Machine Learning; Natural Language Processing (NLP); Python,Training
KMOmw19ZCGs,Git & GitHub Full Course in 5 Hours | Git GitHub Tutorial for Beginners | DevOps Training | Edureka,edureka!,#Edureka​ #EdurekaGitGitHub #GitGitHubFullCourse​ #GitGitHub #GitGitHubTutorialForBeginners​ #futureofGitGitHub ...,DevOps; Git; Github; Training,Training
W-cnCuqN-S8,Tableau Full Course | Learn Tableau In 8 Hours | Tableau Training For Beginners | Simplilearn,Simplilearn,This video is based on  Tableau  Full Course. This  tableau  training for beginners is dedicated to helping beginners to  learn  the ...,Tableau; Training,Training
dNtUG3GeoS4,How to make an interactive PowerPoint presentation - PowerPoint basic training,Enix Tutorials,"This video show you how to make an interactive PowerPoint  presentation  step by step. After make this, you can use this ppt slide ...",Microsoft PowerPoint; Presentation; Training,Training
m_SH0TOLsIc,Excel for Accounting - 10 Excel Functions You NEED to KNOW!,Leila Gharani,They'll make your work life a LOT easier and they work in all  Excel  versions. Some of these are basic  Microsoft Excel  formulas and ...,Accounting; Microsoft Excel,Accounting/Finance
zAtvNGah64s,Data Munging to Wrangling - 7 Steps to Mastering Data Preparation for Data Science - Natasha Balac,PASStv,"Data  is at the heart of all Artificial Intelligence (AI) systems.  Data  is crucial in training, testing, validating, and evaluating machine ...",Artificial Intelligence (AI); Data Preparation; Data Science; TestNG; Testing; Training,Training
TjGbOoKvZ7M,How To Import & Clean Messy Accounting Data in Excel | Use Power Query to Import SAP Data,Leila Gharani,Time Stamps 00:00  Data Cleaning  with Excel for Accountants 00:40 How to Import SAP Data in Excel with Power Query 15:43 ...,Accounting; Data Cleansing; Microsoft Excel; SAP; jQuery,Accounting/Finance
VQoTvw-DsvU,Reinforcement Learning on a GeForce RTX 3080 in MATLAB R2021a,MOBATSim,"In this video, a few different reinforcement  learning  training options are shown in  MATLAB  and Simulink on a CPU (Intel® Core™ ...",MATLAB; Reinforcement Learning; Simulink; Training,Training
XDAP9fuBjlc,How do I get started with a Cloud Computing career?,Cloud Bart,Cloud computing  IS everything in the world of Information Technology - find out how to get started now! #CloudCareers ...,Cloud Computing; Information Technology (IT),Information Technology
bZwpXEgG0to,AI Roadmap For 2021 | Learn AI | Artificial Intelligence Careers | Data Science Training | Edureka,edureka!,#Edureka #AIRoadmapFor2021 #ArtificialIntellegenceCareer #AITutorial #AITraining #DataScienceTutorial ...,Artificial Intelligence (AI); Data Science; Training,Training
gp0AHP9vbTY,GCSE Business Studies: Financial Statements,Atomi,"In this video, we'll look at the three financial controls used to monitor a businesses financial performance: the  balance sheet , ...",Balance Sheet; Financial Statement,Audit and Financial/Business Controls
ilw2AnNsbIc,Climate Change Prediction Using Time Series Analysis | Python Projects | Python Training | Edureka,edureka!,#Edureka #EdurekaDataScience #ClimateChangePrediction #TimeSeriesAnalysis #DataScienceTutorial #DataScienceProject ...,Python; Time Series Analysis; Training,Training
jh14LlMHyds,SQL vs NoSQL | Difference Between SQL And NoSQL | SQL And NoSQL Tutorial | SQL Training |Simplilearn,Simplilearn,#SQLvsNoSQL #SQLAndNoSQLDifferences #DifferenceBetweenSQLAndNoSQL #NoSQLvsSQL #SQLAndNoSQLTutorial ...,NoSQL; Structured Query Language (SQL); Training,Training
pN6AVNkQmFY,Creating and Training Reinforcement Learning Agents Interactively,MATLAB,"Design, train, and simulate reinforcement  learning  agents using a visual interactive workflow in the Reinforcement  Learning  ...",Design; Reinforcement Learning; Training,Training
qgQAFP6oSKw,Using GitHub as your Project Management Tool | Learn with Dr. G,Microsoft Developer,"When you begin any development project, the tools and systems you use are just as important as the project itself. It is important to ...",Github; Project Management,Project/Program Management
C5dFVzQjfPE,"ETL process | Extract, Transform and Load operations in Data Warehouse",Learn with Fun and Creativity,"This video is about  ETL  process of data warehouse explaining how data is collected from different data souces, how data ...",Extract Transform Load (ETL); Transformer,Manufacturing/Operations
PzQ3DBrHW-U,Spark Scala | Spark Tutorial | Scala Tutorial | Spark Scala Full Course | Intellipaat,Intellipaat,"Intellipaat  Apache Spark  Scala Course:- https://intellipaat.com/ apache - spark -scala-training/ In this Spark Scala video, you will ...",Apache Spark; Scala; Training,Training
ZCWiZNBV6-U,HBase Tutorial for Beginners | Introduction to Apache HBase | Hadoop Training | Edureka Live,edureka!,"This Edureka video on ""HBaseTutorial"" will provide you with detailed knowledge about  HBase  and the functionalities it can ...",Apache Hadoop; Apache Hbase; HBase; Training,Training
eKUSWKOc5Ig,Tableau Tutorial for Beginners | Learn Tableau | Tableau Full Course | Intellipaat,Intellipaat,#TableauTutorialForBeginners #LearnTableau #TableauFullCourse #TableauTraining #TableauCourse #TableauCertification ...,Tableau,Training
fbYExfeFsI0,MongoDB & Node.js: Connecting & CRUD Operations (Part 1 of 4),MongoDB,"If you're a Node.js developer who wants to  learn MongoDB , start here! In this quick start tutorial for beginners, Developer ...",MongoDB; Node.js,Manufacturing/Operations
o5HzOz2R3ZU,Power BI Full Course | Power BI Tutorial For Beginners | Learn Power BI In 5 Hours,ProgrammingKnowledge,"Welcome to this  Microsoft Power BI  Business Intelligence  Training Course  for  Beginners . This is a Beginner  Course  on  Power BI , ...",Business Intelligence (BI); Microsoft Power BI; Training,Training
-7Q41t0qO7M,MongoDB Tutorial | MongoDB Tutorial For Beginners | MongoDB Training | MongoDB Course | Simplilearn,Simplilearn,"""This video on  MongoDB  tutorial will help you get a good understanding of the working of this DBMS.  MongoDB  is a ...",Database Management System (DBMS); MongoDB; Training,Training
X8HPfzwwzvQ,Apache Hadoop & Spark Tutorial For Beginners | What is Hadoop & Spark | Edureka | Big Data Rewind- 2,edureka!,------------------------------------Edureka Online Training and Certification--------------------------------- DevOps Online Training: ...,Apache Hadoop; Apache Spark; Big Data; DevOps; Training,Training
ec1XgaUgSxA,income statement,selfLearn-en,"income statement  |  learn  financial accounting basics, and foundations, discover why financial accounting is so important to many ...",Financial Accounting; Income Statement,Accounting/Finance
lx58zqg0qbk,Learn Excel from Scratch | Microsoft Excel for Beginners in 2021 | Excel Training | Great Learning,Great Learning,"Great  Learning  brings you to this live session on "" Microsoft Excel  For Beginners"". In this session, we will  learn  the skills that will ...",Microsoft Excel; Training,Training
wIN-Nu2oJ20,financial statements,selfLearn-en,"financial statements  |  learn  financial accounting basics, and foundations, discover why financial accounting is so important to ...",Financial Accounting; Financial Statement,Accounting/Finance
AA7i2GcTGwU,SQL Full Course | SQL Tutorial For Beginners | 🔥Learn SQL In 8 Hours | SQL Training | Simplilearn,Simplilearn,"Functional knowledge of  SQL  ( Structured Query Language ), the leading programming language for relational database ...",Programming Language Theory; Relational Database; Structured Query Language (SQL); Training; jQuery,Training
Ix-6AnGEB7I,The ETL Process,Optimal MRM,Optimal MRM is partnered with the Master of Mathematical Finance Program at the University of Toronto in the development of the ...,Extract Transform Load (ETL); Mathematical Finance,Accounting/Finance
NLCzpPRCc7U,Tableau Explained In 5 Minutes | What Is Tableau? | Tableau Training For Beginners | Simplilearn,Simplilearn,"Don't forget to take the quiz at 03:51! Comment below what you think is the right answer, to be one of the 3 lucky winners who can ...",Tableau; Training,Training
QUrVpL9oXrw,Natural Language Processing (NLP) and Machine Learning (ML) Techniques Applications in Finance,RavenPack,"Marko Kangrga, Head of Quantitative Research - Americas at RavenPack, shares his work on neural network sequence models ...",Finance; Machine Learning; Natural Language Processing (NLP); Neural Network; Quantitative Research; Sequence,Accounting/Finance
hhiXeTGl_Eo,Splunk Dashboard | Learn how to create a Splunk Dashboard | Splunk Training | Edureka,edureka!,------------------------------------------------- Checkout Edureka's Splunk's Tutorial Playlist: https://bit.ly/3gLRaEH Subscribe to our ...,Dashboard; Training,Training
L3GMwWKvKEs,Master Apache Hadoop - Infinite Skills Hadoop Training - learn Hadoop,Ynes Ashla,Link to this course(special discount) https://www.udemy.com/course/master- apache - hadoop /?,Apache Hadoop; Training,Training
w9p8ELFhJDA,Structured Query Language (SQL),Mushtak Gadkari,what is  sql  ?  SQL  CRUD operations.,Structured Query Language (SQL); jQuery,Manufacturing/Operations
DlBIhpDjhbY,Tableau Expert Full Course | Tableau Training | Tableau Tutorial | Tableau Full Course | Simplilearn,Simplilearn,"This video on "" Tableau  Expert Full Course"" will help beginners to  learn  the  Tableau  Fundamentals with a detailed theoretical ...",Tableau; Training,Training
PH7CYxvjk30,Data Preparation using Report Builder | Lecture #4 |  Data Preparation Demo | SAS VA Training,Data Guru - Simplified Data Science,"The DataGuru is a channel created by Prof Mahesh Mali, a  Data  Science Professor at various reputed engineering colleges, ...",Data Preparation; Data Science; Engineering; Jbuilder; SAS; Training,Training
lsINE1jlXYM,Apache Hive Architecture | Apache Hive | Apache Hive Introduction | Learn Apache Hive | Hive,cfamily,www.cfamily.com -- self-paced training portal eMail: info@cfamily.com  Apache  Hive is a data warehouse software project built on ...,Apache Hive; Architecture; Email; Training,Training
n2iYeN3-ido,Financial Statement Analysis - Master the Financial Stmts! - learn Finance,Bjj Bbj,link to this course ...,Finance; Financial Statement; Financial Statement Analysis,Accounting/Finance
pm48h_RKJ08,"Vocabulary in Digital Marketing - AB Testing | Meaning, process, precautions | Learn English | TELW",TELW The English Workshop,AB Testing  is a Digital Marketing vocabulary. It is a way in which you test the usefulness of a website. This is a technical term – a ...,A/B Testing; Digital Marketing; English; QA Testing; TestNG,Marketing
vw8QDtTWiR0,Apache Pig Tutorial for Beginners | What is Apache Pig? | Edureka | Big Data Rewind - 2,edureka!,------------------------------------Edureka Online Training and Certification--------------------------------- DevOps Online Training: ...,Apache Pig; Big Data; DevOps; Training,Training
cFU6R9d8vh0,The Only Artificial Intelligence that can Learn - Deepmind Meta-Learning,AI News,Artificial Intelligence's biggest Problems is their inability to keep on  learning  after they've completed their training. But now ...,Artificial Intelligence (AI); Training,Training
PvTJ_MkF_wc,Apache Flume Training | Apache Flume Course Online Certification [Overview Of Apache Flume],MindMajix,"This Mindmajix  Apache  Flume Training for both freshers and experienced will help you to  learn  Flume fundamentals, Architecture, ...",Apache; Architecture; Training,Training
jJwAGrRZ6Tw,Day 1:  Apache Kafka Training,"The Learning Deck - ""Learn from Industry Experts""",,Apache Kafka; Training,Training
7jVi5jJbCTo,Income Statement  Learn Accounting Cycle in 60 minutes,Coding Knowledge,Coding_knowledge.,Accounting; Income Statement,Accounting/Finance
Q5RHd5fNt0U,Elements of Financial Statements.  Intermediate Accounting. CPA exam,Farhat's Accounting Lectures,"In this session, I explain the elements of  financial statements . Are you a CPA candidate or accounting student? Check my website ...",Accounting; Financial Statement,Accounting/Finance
7O2-icXoZSw,Statement of Cash Flows I Financial Statements I Financial Management I Accounts & Finance World,Accounts & Finance World,The Statement of Cash Flows or cash flow statement is a part of the three key  financial statements  that report the cash generated ...,Finance; Financial Management; Financial Statement,Accounting/Finance
Uy9_PUKSMjI,Balance Sheet  Learn Accounting Cycle in 60 minutes,Coding Knowledge,Coding_knowledge.,Accounting; Balance Sheet,Accounting/Finance
SY5YJVlUVG4,Vertical Analysis Of Financial Statements | CMA Lecture 01 | Mastering Accounting Skills,Mastering Accounting Skills,Asalam o Alaikum . Hope You Have Enjoyed This Video And Have Found It Useful To  Learn  More Cool Accounting Skills Don't ...,Accounting; Analysis; Financial Statement,Accounting/Finance
M0fx_1iuu6U,"""AUDITOLOGY by CA Niket Thacker"" - General Purpose Financial Statements",CA Niket Thacker,"Auditology is a series of important terms of Audit. In this series, CA Niket Thacker will explain the terms of Auditing in detail.",Audit; Financial Statement,Audit and Financial/Business Controls
WhqgKl1RZw4,MySQL vs MongoDB | Difference between MySQL and MongoDB | Learn MySQL | Learn MondoDB  | Edureka,edureka!,MySQL DBA Certification Training: https://www.edureka.co/mysql-dba This Edureka video on 'MySQL vs  MongoDB ' we can ...,MongoDB; MySQL; Training,Training
6UGDekCR-h4,Python Tutorial For Beginners | Learn Python In 1 Hour,Ashutosh Pawar,In this video we  learn Python  from scratch. We cover the following concepts: Math operations in Python. Print function in Python.,Python,Manufacturing/Operations
xeLfdBA9RKY,Tableau | Tableau tutorial | Tableau training for beginners | Full Course Part-1 4hours,Career Builder,tableau  dashboard business analyticsLearn data visualization through  Tableau  2021 and build opportunities for you or key ...,Business Analytics; Dashboard; Data Visualization; Tableau; Training; Visualization,Training
-4FpzEuDfKo,Tableau Sales KPI Dashboard Design Tutorial Step by Step with PowerPoint Designed Images,Data Science Tutorials,Learn  # tableau  by develop sales KPI Dashboard step by step with this design which includes Microsoft powerpoint as well to ...,Dashboard; Design; Image; Microsoft PowerPoint; Sales; Tableau,Sales
tPVT9B8TlDQ,PyTorch Tutorial For Beginners | Deep Learning with Python Tutorial | Edureka | DL Rewind - 2,edureka!,Edureka Tensorflow Training - https://www.edureka.co/ai-deep- learning -with-tensorflow This Edureka PyTorch for Deep  Learning  ...,Artificial Intelligence (AI); Deep Learning; PyTorch; Python; TensorFlow; Training,Training
E_py9Dky68s,Keras Tutorial For Beginners | Deep Learning Models Using Keras | Edureka | DL Rewind - 5,edureka!,Edureka Artificial Intelligence using Tensorflow Training(Use code: YOUTUBE20) ...,Artificial Intelligence (AI); Deep Learning; Keras; TensorFlow; Training,Training
mpHNSxg3qJo,Tableau Tutorial | TableauSoftware |Tableau Software |Tableau Learning | Tableau Course,4Achievers Pvt Ltd,"TableauSoftware Through the  Tableau  training period, applicants  learn  to understand how to implement the  Tableau  tool with ...",Tableau; Training,Training
3bYnV0pVJIM,"Seminar Online TOD 2021 - ""Learn About Statistics Nowadays""",TOD HIMASTA,"Seminar Training Olah Data 2021 "" Learn  About  Statistics  Nowadays"" Selamat Pagii!! Yang ditunggu telah hadir🙌 . Statistik?! Yap ...",Statistics; Training,Training
KY6-dAy1WUk,Global Network Webinar: Coordinating Training in Official Statistics,UNStats,This Global Network Webinar focused on Coordinating Training in Official  Statistics  which featured a panel of experts: Mitali Sen ...,Network; Statistics; Training,Training
T7JDLlbOv7Y,Omer Levy | Natural Language Processing without Big Labeled Data,London Machine Learning Meetup,Monday 14 June 2021 Abstract: The latest methods in  NLP  involve pretraining a model on unlabeled text and then fine-tuning it ...,Natural Language Processing (NLP),Training
S1tMQUyP-gI,How to use R for Text Mining (Part I)  |  Natural Language Processing  | Data Science Training.,ACADA VIRTUAL LAB,It also shows the steps to Install and use relevant  Natural Language Processing  ( NLP ) packages. This includes the R code on ...,Data Science; Natural Language Processing (NLP); R; Text Mining; Training,Training
Qx-mXhkB5b8,Oracle PL/SQL Tutorial || Oracle PL/SQL Training for beginners || Learning Tube,Learning Tube,PL/ SQL  is a procedural  language  designed specifically to embrace  SQL  statements within its  syntax . PL/ SQL  program units are ...,Oracle; PL; Structured Query Language (SQL); Syntax; Training,Training
h-01cFFRwCg,What is sql and who can learn in telugu 04,VLR Training,"... Training  SQL  is  Structured Query Language , which is a coding for putting away, controlling and recovering information put away ...",Coding; Structured Query Language (SQL); Telugu; Training; jQuery,Training
dU_u8ORN3Jg,CAII HAL Training: Hands-On Deep Learning for Computer Vision (Asad Khan),NCSAatIllinois,This tutorial will introduce how  machine learning  can be accomplished with neural networks and will go over various examples ...,Computer Vision; Deep Learning; Golang; Machine Learning; Neural Network; Training,Training
yVnKakTX9Ls,Session on Computer Vision by Dr. Rupali Kulkarni,Rajiv Bhandari,"In order to build a robust deep  learning  model for  Computer Vision , one must apply high-quality datasets into the training phase.",Computer Vision; Dataset; Deep Learning; Training,Training
Gars7QyQ7Ko,"Shone, Shot, Meant, Ran, Stolen, Stuck, Learn Meaning And To Use These Words Of Vocabulary Day- 28",Fateh Ielts,Contact 7837907680 for online/ offline training of both academic and general training modules of IELTS. Let's build the vocab first ...,Training,Training
C6mzO-MZpmQ,ETL Testing Training | ETL Testing Certification Online Course [What Is ETL Testing] - MindMajix,MindMajix,This Mindmajix  ETL  Testing Training for both freshers and experienced will help you to gain an in-depth understanding of Data ...,Extract Transform Load (ETL); TestNG; Testing; Training,Training
gGelXqgjmmI,Talend ETL Tool Tutorial For Beginners & Advanced| Real Time Online Training| Venkat| +91-9538160185,Talend By Venkat,"Hi All, I am providing Talend Data Integration  ETL  Tool Real Time Online Training Classes . If any one interested to  learn  ,please ...",Extract Transform Load (ETL); Talend; Training,Training
fOYnDiSv-fA,Annual Sales Calendar for Sales Dashboard in Excel,PK: An Excel Expert,"SalesDashboard #ConditionalFormatting Hello Friends, In this video, you will  learn  how to create an Annual Sales Calendar for ...",Calendar; Dashboard; Microsoft Excel; Sales,Sales
5MiNEYxEH5M,3D Chart for Weekly Sale in Excel,PK: An Excel Expert,"3DChart #SalesChart Hello Friends, In this video, you will  learn  how to create 3D Chart for Weekly Sale. We have used 3D ...",Chart; Microsoft Excel,Sales
zLqSNrBJGEA,Cisco Nexus Dashboard: One Platform for Hybrid Cloud Automation,Tech Field Day,"Learn  how Cisco Data Center Nexus  Dashboard  can bring together unified proactive operations, actionable insights that scale ...",Automation; Dashboard; Platform,Manufacturing/Operations
o4jbeFNJTjY,Cisco Nexus Dashboard Insights: IT Operations Made Simple,Cisco,"Learn  how to enable the automation necessary to deliver services faster, make changes with confidence, help network operations ...",Automation; Dashboard; IT Operations; Information Technology (IT); Network,Manufacturing/Operations
0tCZ55yv3mA,Artificial Intelligence for Accountants Part 1: What is AI,Rizwan Ahmed,"The series for accounting and finance professionals to  learn Artificial Intelligence . #Accountants, # AI  Background Music Credit: ...",Accounting; Artificial Intelligence (AI); Finance; Music,Accounting/Finance
7M1_N0fuWgc,Power BI Advanced Tutorial,Learnit Training,Power BI  Advanced  Tutorial  Exercise Files: https://bit.ly/2W9iMvZ For ad free  training  and certificates please join Learnit Anytime: ...,Business Intelligence (BI); Microsoft Power BI; Training,Training
bSAus3Ixhk8,Power BI Expert Tutorial,Learnit Training,Power BI  Expert  Tutorial  Exercise Files: https://bit.ly/2W9iMvZ For ad free  training  and certificates please join Learnit Anytime: ...,Business Intelligence (BI); Microsoft Power BI; Training,Training
UZU4VyqGF30,Power BI Master Tutorial,Learnit Training,Power BI  Master  Tutorial  Exercise Files: https://bit.ly/2W9iMvZ For ad free  training  and certificates please join Learnit Anytime: ...,Business Intelligence (BI); Microsoft Power BI; Training,Training
GVjGSeresIM,DAX for Power BI Part 1 - Getting Started with DAX for Power BI,WiseOwlTutorials,"... the Chart Visit https://www.wiseowl.co.uk for more online  training  resources in  Microsoft  Excel,  Microsoft Power BI , DAX, VBA, ...",Business Intelligence (BI); Chart; Microsoft Excel; Microsoft Power BI; Training; Visual Basic For Applications (VBA),Training
cdUg8LfarCg,PROJECT MANAGEMENT in Power BI? Create a GANTT CHART from a bar chart | NO CUSTOM VISUAL solution,How to Power BI,GANTT Charts are very useful for project management. In this video I walk you through how you can turn a normal native bar chart ...,Bar Chart; Gantt Chart; Microsoft Power BI; Project Management,Project/Program Management
4stvuDKPFzM,An Overview on Power BI | Power BI Tutorial for Beginners | Video by igmGuru,IgmGuru,Power BI Tutorial  for  Beginners  The  Microsoft Power BI Training  by igmGuru is designed to assist users in dynamic  learning  about ...,Business Intelligence (BI); Microsoft Power BI; Training,Training
DTWn6EzRXXQ,Data Analytics with Microsoft Power BI ELearning Training,OEM Office Elearning Menu,"Order this unique E- Learning course  Data Analytics with  Microsoft Power BI  online, 1 year 24/7 access to rich interactive videos ...",Business Intelligence (BI); Data Analytics; Microsoft Access; Microsoft Power BI; Training,Training
uXtGzgP-82g,Reinforcement Learning in Machine Learning | Reinforcement Learning an Introduction,Data Science World,Reinforcement learning  is a machine learning training method based on rewarding desired behaviors and/or punishing undesired ...,Azure Machine Learning; Reinforcement Learning; Training,Training
Jy3wHG39uak,MALAYSIAN NETWORKS: Epidemic and Finance (English with Malay discussions),Fatimah Abdul Razak,"Presented on 12 Sept 2021 at Seminar Algebraic Structures and  Graph Theory , Universiti Putra Malaysia.",English; Finance; Graph Theory; Malay; Network,Accounting/Finance
e64suMBxHTw,Manufacturing Analytics with DELMIA Apriso Dashboard Builder and Hadoop with Hive,GGBigData,The video demonstrates DELMIA Apriso Dashboard Builder providing manufacturing quality analytics based on the data collected ...,Analytical; Apache Hadoop; Apache Hive; Dashboard; Jbuilder; Manufacturing,Manufacturing/Operations
gDhQjJvew0c,Learn Google Cloud for FREE - Exclusive early access!!,Cloud Advocate,Offering 32+ hands-on training labs available for free ($55+ value). Each lab is designed to help you  learn  a new aspect of  cloud  ...,Google Cloud Platform (GCP); Training,Training
yNfiMtMIf-4,Oracle Free Cloud Training & Certification | Cloud Computing Free Course | Cloud Computing Tutorial,Learning Cart,Oracle Free Cloud Training & Certification |  Cloud Computing  Free Courses |  Cloud Computing  Tutorial | Free Courses | Free ...,Cloud Computing; Oracle; Training,Training
tIlS7zNyAQA,How to Become a Cloud Architect (Cloud Architect Training - Don’t Get 10X AWS Certifications),Go Cloud Architects,On our channel we do everything we can to help you with your cloud career training and  cloud computing  career. We provide an ...,Amazon Web Service (AWS); Cloud Computing; Training,Training
NWqL3ZccBBM,Data Cleaning in Machine Learning | Machine Learning Tutorial | | Edureka | ML Rewind - 5,edureka!,Edureka Machine  Learning  Certification Training: https://www.edureka.co/machine- learning -certification-training This Edureka ...,Data Cleansing; Machine Learning; Training,Training
